Distribuidor ;Area;Articulo;Descripcion;Cantidad;Capacidad;Linea;Rubro
TOTAL  CENTRO S.R.L.;NEA y Litoral;300063098;Twistos Minit Queso 95gx30x1;4319;410495,00;Gold ;Crakers
TOTAL  CENTRO S.R.L.;NEA y Litoral;300063097;Twistos Minit Queso 100gx30;4027;382565,00;Gold ;Crakers
TOTAL  CENTRO S.R.L.;NEA y Litoral;300052695;Twistos Minit Jamon 100gx30;70;7,00;Gold ;Crakers
TOTAL  CENTRO S.R.L.;NEA y Litoral;300052696;Twistos Minit Jamon 40gx112x1;3284940;34,36;Platinum ;Crakers
TOTAL  CENTRO S.R.L.;NEA y Litoral;300063264;Twistos Minit Queso 40gx112x1;3284940;25,36;Platinum ;Crakers
TOTAL  CENTRO S.R.L.;NEA y Litoral;300063263;Twistos Minit Jamon 40gx84;287;11,48;Platinum ;Crakers
TOTAL  CENTRO S.R.L.;NEA y Litoral;300052694;Twistos Minit Jamon 155gx20;1881;291555,00;Silver ;Crakers
TOTAL  CENTRO S.R.L.;NEA y Litoral;300062972;Pehuamaráacanaladaá230gx14x1;264;69,96;Bronze ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300062973;Pehuamar Papa Lisa 230gx14x1;194;44,62;Bronze ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300060197;Pehuamar Acanalada 485x9;97;22,31;Bronze ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300060096;Pehuamar Papa Lisa 485gx9;80;38,80;Bronze ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300060095;Pehuamar Maicitos 260gx10x1;43;20855,00;Bronze ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300060195;Doritos Queso 77gx26;8916;757,86;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300060192;Cheetos Queso 85gx24x1;7801;600677,00;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300060664;3d Queso 85gx27x1;4460;379,10;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300060661;Doritos Dinamita Fh 70gx44x1;3985;338725,00;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300062697;Lays Ondas Fh 70gx28;3284940;224,70;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300059811;Cheetos Queso Crema 85gx24;2354;164,78;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300061010;Lays Queso Y Cebolla 77gx28;1518;129,03;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300060098;Maniásalápeladoá75gx64x1;1296;99792,00;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300063271;Lays Ketchup 77gx28x1;1278;95,85;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300060099;Lays Jamon Serrano 77gx28;1217;93709,00;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300060230;Lays Provoleta 77gx28x1;1171;90167,00;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300062584;Lays Mostaza 77gx28;773;59521,00;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300062585;Maniax Japones Jamon 95gx40x1;480;36,96;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300061021;Maniax Japones Sal 95gx40x1;457;43415,00;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300061020;Tostitos 77gx26;395;37525,00;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300060201;Pep Comun 120grx21;301;23177,00;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300052821;Pep Rueditas 120grx21;179;21,48;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300052756;Maniax Aji Y Limon 110gx56;155;18,60;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300053043;Mani Sal Con Piel 75gx64x1;135;14,85;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300061030;Mani Con Piel 150gx30;132;9,90;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300052643;Pep Ramitas Queso 120gx21;110;16,50;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300058720;Maniax Sal Y Limon 95gx60x1;84;10,08;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300060869;Doritos Queso 77gx17 Exp Arg;82;7,79;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300060459;Mani Pelado 135gx40x1;17;1309,00;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300061023;Mani Pelado 85gx58;8;1,08;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300052622;Doritos Dinamita Fh 70gx64x1 Ex Arg;0;0,51;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300059753;Lays Cheddar 77gx28;3;0,21;Gold ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300059432;Doritos Queso 40gx70x1;5109;204,36;Platinum ;Salty
TOTAL  CENTRO S.R.L.;NEA y Litoral;300059545;Cheetos Queso 43gx70x1;4662;186,48;Platinum ;Salty
